客户ID,姓名,年龄,性别,手机号,注册时间,客户类型,所在城市,消费金额
C665,陈晨,,男,,,,,
C00078,董兰英,,女,13871555179,,普通,杭州,4829.52
C00028,李利,,男,15939738401,2022-08-17,,北京,4250.33
C00079,任浩,,女,,2021-11-23,普通,广州,5672.11
C00005,李玉梅,41.0,男,,2023-12-12,金卡,上海,8678.19
C00062,刘丹,34.0,女,,2021-10-21,金卡,深圳,7834.21
C00056,尹玉英,,女,18021899963,2021-10-27,银卡,武汉,5882.39
C00039,沈丽娟,44.0,男,15377063336,2022-10-11,银卡,深圳,7895.01
C00035,王小红,21.0,女,18647581160,,金卡,广州,2693.36
C00016,史志强,49.0,男,14530477201,2022-03-17,,广州,8737.09
C00066,张霞,55.0,男,18761307949,2022-08-13,,上海,5702.73
C00034,王静,,男,18984643667,2022-04-24,,,9090.77
C00007,何凯,61.0,男,18766374946,2023-03-24,银卡,武汉,9261.37
C00043,夏梅,20.0,女,15890347120,2023-12-25,银卡,上海,5808.22
C00068,孙秀梅,,女,18861335270,2023-04-01,VIP,武汉,5265.29
C00069,张琴,,女,14720562392,2023-10-15,,杭州,2530.4
C00027,吴淑珍,,男,,2025-09-05,VIP,上海,6784.6
C00019,朱桂荣,63.0,男,,,金卡,上海,2856.92
C00048,林建军,,男,15161542990,2023-02-11,,成都,
C00025,何杰,43.0,男,14545827244,2022-05-22,金卡,,6996.26
C00073,仝博,,男,,2021-12-11,VIP,杭州,3753.3
C00049,王阳,,男,13385808120,,普通,深圳,6151.61
C00013,常萍,,男,15913554385,2021-06-17,金卡,广州,1153.47
C00024,黄燕,24.0,男,13746288396,2024-02-02,VIP,广州,4865.45
C00003,龙淑英,27.0,女,13549676139,2024-07-16,金卡,成都,8090.57
C00017,胡淑珍,45.0,男,13181391119,2023-08-27,金卡,,4569.71
C00038,龙畅,,女,15356528706,2020-12-19,VIP,广州,8126.64
C00008,杨桂英,62.0,女,18509786138,2020-11-12,VIP,北京,4071.53
C00079,任浩,,女,,2021-11-23,普通,广州,5672.11
C00006,蒋伟,,女,15912785665,2023-05-12,金卡,成都,2743.08
C00067,向俊,,女,15048956622,,金卡,北京,8241.08
C00036,晋玉梅,,女,13850780721,,VIP,北京,5866.84
C00079,任浩,,女,,2021-11-23,普通,广州,5672.11
C00061,王冬梅,,男,15737638398,2021-10-06,银卡,杭州,8336.05
C00054,张超,,女,18898243669,2025-07-04,普通,杭州,3424.89
C00050,张桂珍,,女,15017258049,2021-05-02,银卡,,1560.96
C00070,杨帅,,女,18542472905,2024-08-18,,武汉,4993.63
C00046,成凤兰,,男,15883989724,2023-10-03,银卡,广州,3079.4
C260,李晶,,男,,,,,
C00061,王冬梅,,男,15737638398,2021-10-06,银卡,杭州,8336.05
C345,刘东,,男,,,,,
C00016,史志强,49.0,男,14530477201,2022-03-17,,广州,8737.09
C00041,吴志强,32.0,男,13573259696,2022-11-04,金卡,上海,2863.34
C00058,王亮,44.0,女,14532753856,2023-05-12,普通,武汉,6823.5
C00048,林建军,,男,15161542990,2023-02-11,,成都,
C00068,孙秀梅,,女,18861335270,2023-04-01,VIP,武汉,5265.29
C00057,陈淑英,62.0,女,14520259568,2022-06-22,金卡,武汉,9538.96
C00075,徐英,25.0,女,18155620950,2022-02-06,VIP,深圳,4893.57
C00032,周桂花,,女,13714825919,2020-11-16,,北京,5590.56
C00016,史志强,49.0,男,14530477201,2022-03-17,,广州,8737.09
C00059,寇强,43.0,女,15000834376,2025-01-01,,北京,5959.74
C00063,李秀兰,59.0,男,13305850424,,普通,广州,4788.25
C00036,晋玉梅,,女,13850780721,,VIP,北京,5866.84
C00037,石玉梅,,男,,2023-09-30,普通,成都,2570.34
C00029,傅波,,女,13268021679,2020-09-20,VIP,杭州,6749.73
C00049,王阳,,男,13385808120,,普通,深圳,6151.61
C00001,冷玉华,,男,,2021-03-25,,北京,7188.59
C00052,刘利,33.0,女,15593242359,2023-08-02,,成都,8925.12
C00021,项金凤,44.0,男,,2021-11-30,银卡,武汉,7317.85
C00002,屈洋,,男,13013603580,2022-07-20,普通,广州,3468.48
C00023,赵建华,,男,15717232264,2022-06-04,普通,,8574.07
C00041,吴志强,32.0,男,13573259696,2022-11-04,金卡,上海,2863.34
C00059,寇强,43.0,女,15000834376,2025-01-01,,北京,5959.74
C00074,胡晶,,女,15188507107,2025-02-26,金卡,,2588.9
C00018,郑玉英,33.0,男,15572593408,2025-01-12,VIP,深圳,
C00009,江丽华,22.0,女,15655441954,2023-10-23,银卡,广州,2541.61
C00020,朱瑜,49.0,男,15782431590,2025-07-20,,,4782.43
C00060,林桂花,60.0,男,18884000901,,银卡,广州,
C00071,张桂花,38.0,女,14508900625,2023-01-29,金卡,杭州,7041.72
C00014,江晶,,男,18618201367,2022-11-19,,北京,4937.2
C00024,黄燕,24.0,男,13746288396,2024-02-02,VIP,广州,4865.45
C00051,鲍琳,62.0,男,13336114691,2022-10-04,,,
C277,谢柳,,男,,,,,
